path,sha256,media_type,owner,license,source_url,review_status,notes
firstVideo/6799269.mp4,2ca96dd855440e013e2e009fcf5fa913e9b6db641af57020b003b6eeaf448e2d,video,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/android-chrome-192x192.png,88f737a56035404aa505c03c3a91d51db37fff8f59a26a272f0fba0b4afa6aca,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/android-chrome-512x512.png,df7d15505b4cab27b1ec9f8225e42945f441c7d6ee4d5fc8881e1bf073e39c8b,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/assets/chinverse/course-profiles/Chinese Daily Podcast.jpeg,fd4e1017fee448d1690450e1f9310779214308e1e3ef8409c397ccf19d13c6ba,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/assets/chinverse/course-profiles/Chinese Podcast Zone.jpeg,bc64d3ac2f1c39ca222884020e814c8835171e9a289a43066064533fffb2bd76,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/assets/chinverse/course-profiles/Chinese Tales with Xiao Lin.jpeg,9f3c78a7999bbc8613482ebdd57df2c30470430c682e67372c0c6dc3f09c9a66,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/assets/chinverse/course-profiles/Chinese Zero to Hero.jpeg,297f584d952d9dfa2cf89a0867c9292fc8750909b7bb2848c549d21aacd26888,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/assets/chinverse/course-profiles/Free To Learn Chinese.jpeg,b5afe8d1ebc45933938cfaaab7cf6ff747c64407a8588171e0961c7319d7b07c,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/assets/chinverse/course-profiles/Grace Mandarin.png,fbd48347e74fbb6abe0dc894e1e91a257e1ab29cbfcea131e569e78683d147e6,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/assets/chinverse/course-profiles/HSK Grammar/hqdefault (1).jpg,e7fac3ec9fc16f443f184610e8bc6044ce0045db3488cfcf7477f0eb029a3b9b,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/assets/chinverse/course-profiles/HSK Grammar/hqdefault (2).jpg,696c36ef532bb069cd2e289c936efe35ed49d449ca381ecc2a41c33be0c5fc2c,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/assets/chinverse/course-profiles/HSK Grammar/hqdefault (3).jpg,80b5f8eeac12fe96b6ee0d6e5b7193c1d81adb392fbaf8f9999fd7d6ca386392,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/assets/chinverse/course-profiles/HSK Grammar/hqdefault (4).jpg,eb56149e06aface56f5e2fab0399c14f9fc5ce14170eaa71271f6eb7b1c3f209,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
frontend/public/assets/chinverse/course-profiles/HSK Grammar/hqdefault (5).jpg,0d0f68d0f6bf12b438d2deb60c251c370a8367cb9c205a161c404fcc21e5f77b,image,,,,review_required,Historical repository asset; provenance evidence is required before production publication.
