word_id,chinese_word,pinyin,word_hsk_level,official_pos,sense_id,chinese_meaning,persian_meaning,collocations,example_chinese,example_pinyin,example_persian_translation,notes
1,爱,ài,HSK 1,动,1,对人、地方、国家等有深厚的感情 (动),"عشق داشتن؛ عمیقاً دوست داشتن؛ محبت شدید داشتن به کسی، خانواده، وطن و مانند آن (فعل)",爱家人 (ài jiārén) | 爱孩子 (ài háizi) | 爱父母 (ài fùmǔ) | 爱祖国 (ài zǔguó),她很爱她的家人。,Tā hěn ài tā de jiārén.,او خانواده‌اش را خیلی دوست دارد / عاشق خانواده‌اش است.,
1,爱,ài,HSK 1,动,2,喜欢做某事或喜欢某种事物，常表示兴趣或习惯 (动),دوست داشتن؛ علاقه داشتن به چیزی یا انجام کاری؛ خوشش آمدن یا عادت داشتن به کاری (فعل),爱看书 (ài kàn shū) | 爱喝茶 (ài hē chá) | 爱唱歌 (ài chànggē) | 爱运动 (ài yùndòng),我爱喝茶。,Wǒ ài hē chá.,من چای دوست دارم / به چای علاقه دارم.,
1,爱,ài,HSK 1,动,3,容易发生某种情况；常常会 (动/助动词),زیاد دچارِ چیزی شدن؛ معمولاً چنین عادتی داشتن؛ زیاد پیش آمدن که... (فعل/فعل کمکی),爱生气 (ài shēngqì) | 爱迟到 (ài chídào) | 爱忘事 (ài wàngshì) | 爱哭 (ài kū),他上班总爱迟到。,Tā shàngbān zǒng ài chídào.,او سر کار همیشه دیر می‌کند / عادت دارد دیر برسد.,
2,八,bā,HSK 1,数,1,数字八 (数),عدد هشت (عدد),八个人 (bā ge rén) | 八点 (bā diǎn) | 八岁 (bā suì),我女儿八岁了。,Wǒ nǚ'ér bā suì le.,دخترم هشت ساله شده است.,
3,爸爸,bàba,HSK 1,名,1,父亲；对爸爸的称呼 (名),پدر؛ بابا (اسم),我爸爸 (wǒ bàba) | 爸爸妈妈 (bàba māma) | 爸爸回来了 (bàba huílai le),我爸爸是老师。,Wǒ bàba shì lǎoshī.,پدرم معلم است.,
4,吧,ba,HSK 1,助,1,用在句末，表示建议、邀请、请求、劝告或商量，使语气较委婉 (助),"برای پیشنهاد، دعوت، درخواست، توصیه یا مشورت در پایان جمله می‌آید و لحن را نرم‌تر و مؤدبانه‌تر می‌کند (حرف نشانه)",我们走吧 (wǒmen zǒu ba) | 一起去吧 (yìqǐ qù ba) | 请坐吧 (qǐng zuò ba) | 你先走吧 (nǐ xiān zǒu ba) | 休息一下吧 (xiūxi yíxià ba),我们一起去吃饭吧。,Wǒmen yìqǐ qù chīfàn ba.,بیا با هم برویم غذا بخوریم.,Merged former sense 1 and 2.
4,吧,ba,HSK 1,助,2,用在句末，表示同意、接受、让步或勉强决定 (助),"برای قبول کردن، کوتاه آمدن یا تصمیمِ همراه با کمی تردید می‌آید؛ «باشه»، «خب» (حرف نشانه)",好吧 (hǎo ba) | 行吧 (xíng ba) | 算了吧 (suàn le ba) | 就这样吧 (jiù zhèyàng ba),好吧，我们明天再去。,"Hǎo ba, wǒmen míngtiān zài qù.","خیلی خب، باشه. فردا می‌ریم.","Often shows reluctant agreement, concession, or closing a decision."
4,吧,ba,HSK 1,助,3,用在句末，表示推测、估计或不太确定的判断 (助),"در پایان جمله برای حدس، گمان یا اطمینان نداشتن می‌آید؛ «احتمالاً»، «فکر کنم»، «شاید» (حرف نشانه)",可能是吧 (kěnéng shì ba) | 他会来吧 (tā huì lái ba) | 差不多吧 (chàbuduō ba) | 应该可以吧 (yīnggāi kěyǐ ba),他今天不会来了吧。,Tā jīntiān bú huì lái le ba.,فکر کنم او امروز دیگر نمی‌آید.,Conjectural modal use; degree of certainty depends on context.
4,吧,ba,HSK 1,助,4,用在句末，表示带有期待确认的疑问 (助),"در پایان جمله برای پرسشِ تأییدی می‌آید؛ یعنی گوینده انتظار دارد طرف مقابل تأیید کند؛ «درسته؟»، «مگه نه؟» (حرف نشانه)",你是老师吧 (nǐ shì lǎoshī ba) | 这就是你家吧 (zhè jiù shì nǐ jiā ba) | 没问题吧 (méi wèntí ba) | 可以吧 (kěyǐ ba),你是新来的学生吧？,Nǐ shì xīn lái de xuésheng ba?,"تو دانش‌آموز جدیدی، درست است؟",Tag-like confirmation question.
4,吧,ba,HSK 1,助,5,用在动词后，表示允许、放任或把行动交给对方决定 (助),"بعد از فعل می‌آید و اجازه دادن، رها کردن تصمیم به طرف مقابل یا «بفرما انجام بده» را می‌رساند (حرف نشانه)",你说吧 (nǐ shuō ba) | 你去吧 (nǐ qù ba) | 让他进来吧 (ràng tā jìnlái ba) | 开始吧 (kāishǐ ba),你先说吧。,Nǐ xiān shuō ba.,تو اول بگو.,Permission/yielding-the-turn use; overlaps with softened imperative but is useful to separate for learners.
4,吧,ba,HSK 1,助,6,用在句中停顿处，表示假设、举例、犹豫或两难，多用于口语 (助),"در میانه‌ی جمله و پس از یک عبارت فرضی می‌آید و حالت دودلی، فرض‌گرفتن یا دوراهی را نشان می‌دهد؛ یعنی «اگر ... کنیم/بگوییم...» (حرف نشانه)","V吧，……；不V吧，…… (V ba, ...; bù V ba, ...) | 去吧，……；不去吧，…… (qù ba, ...; bù qù ba, ...) | 说吧，……；不说吧，…… (shuō ba, ...; bù shuō ba, ...)",去吧，太远；不去吧，又可惜。,"Qù ba, tài yuǎn; bù qù ba, yòu kěxī.","اگر برویم، خیلی دور است؛ اگر نرویم هم حیف می‌شود.",Mid-sentence discourse particle; advanced pragmatic use.
4,吧,ba,HSK 1,助,7,用于列举或举例后的停顿，使语气较随意 (助),"پس از آوردن نمونه یا موردی در گفتار می‌آید و لحن را محاوره‌ای‌تر و تقریبی‌تر می‌کند؛ «مثلاً»، «فرض کن» (حرف نشانه)",比如说吧 (bǐrú shuō ba) | 拿这个例子吧 (ná zhège lìzi ba) | 就说今天吧 (jiù shuō jīntiān ba) | 你看吧 (nǐ kàn ba),比如说吧，学习汉语需要每天练习。,"Bǐrú shuō ba, xuéxí Hànyǔ xūyào měitiān liànxí.","مثلاً، یادگیری زبان چینی نیاز به تمرین روزانه دارد.",Discourse-marker use in spoken Mandarin.
4,吧,bā,HSK 1,助,8,译音用字，常用于表示酒吧、网吧、贴吧等场所或网络社区 (名/语素),"جزء آوایی/وام‌واژه‌ای در واژه‌هایی مثل بار، کافی‌نت/گیم‌نت، یا انجمن اینترنتی (اسم/تکواژ)",酒吧 (jiǔbā) | 网吧 (wǎngbā) | 贴吧 (tiēbā) | 吧台 (bātái),他晚上在酒吧工作。,Tā wǎnshang zài jiǔbā gōngzuò.,او شب‌ها در بار کار می‌کند.,Pronounced bā; not the sentence-final particle. Included for full dictionary coverage.
4,吧,bā,HSK 1,助,9,拟声词，模拟轻微的爆裂、撞击、闭合或嘴部动作的声音 (象声词),"آوانما برای صدای کوتاهِ ضربه، بسته‌شدن، ترکیدن خفیف یا حرکت دهان؛ چیزی شبیه «تق/پق/چَک» بسته به بافت (آوانما)",吧的一声 (bā de yì shēng) | 吧嗒 (bādā) | 吧唧 (bājī) | 嘴巴吧唧响 (zuǐba bājī xiǎng),门吧的一声关上了。,Mén bā de yì shēng guānshàng le.,در با صدای «تق» بسته شد.,Onomatopoeic reading bā; less common than modal particle ba.
5,白天,báitiān,HSK 1,名,1,从天亮到天黑的一段时间；白昼 (名),روز؛ زمانی از روشن شدن هوا تا شب (اسم),白天上班 (báitiān shàngbān) | 白天很热 (báitiān hěn rè) | 白天睡觉 (báitiān shuìjiào),我白天上班，晚上学习。,Wǒ báitiān shàngbān wǎnshang xuéxí.,من روزها کار می‌کنم و شب‌ها درس می‌خوانم.,
6,百,bǎi,HSK 1,数,1,数字一百；十个十 (数),عدد صد (عدد),一百 (yībǎi) | 百分之百 (bǎifēnzhībǎi) | 一百元 (yī bǎi yuán),这本书一百块。,Zhè běn shū yì bǎi kuài.,این کتاب صد یوان است.,
7,半,bàn,HSK 1,数、副,1,二分之一；一半 (数),نصف؛ نیم؛ یک‌دوم (عدد),一半 (yíbàn) | 半个苹果 (bàn ge píngguǒ) | 半杯水 (bàn bēi shuǐ),我吃了半个苹果。,Wǒ chī le bàn ge píngguǒ.,من نصف یک سیب خوردم.,
7,半,bàn,HSK 1,数、副,2,表示钟点中的三十分；半点 (数),نیم؛ سی دقیقه در بیان ساعت (عدد),一点半 (yì diǎn bàn) | 八点半 (bā diǎn bàn) | 九点半 (jiǔ diǎn bàn),我们八点半上课。,Wǒmen bā diǎn bàn shàngkè.,ما ساعت هشت و نیم کلاس داریم.,
7,半,bàn,HSK 1,数、副,3,表示不完全；部分地 (副),نیمه؛ نصفه؛ تا حدی؛ به‌طور ناقص یا کامل‌نشده (قید),半开 (bàn kāi) | 半懂不懂 (bàn dǒng bù dǒng) | 半信半疑 (bàn xìn bàn yí),门半开着。,Mén bàn kāizhe.,در نیمه‌باز است.,
7,半,bàn,HSK 1,数、副,4,表示中间部分、中途或一段时间的一半 (名/数),نیمه؛ وسط؛ میانه‌ی راه یا زمان (اسم/عدد),半路 (bànlù) | 半夜 (bànyè) | 半年 (bànnián),他半路下车了。,Tā bànlù xià chē le.,او وسط راه پیاده شد.,
7,半,bàn,HSK 1,数、副,5,和否定词连用，表示一点儿也不或几乎不 (副),"اصلاً؛ تقریباً هیچ، در ساختارهای منفی (قید)",半点儿不 (bàndiǎnr bù) | 半句话 (bàn jù huà) | 半个人影 (bàn ge rényǐng),他半句话也没说。,Tā bàn jù huà yě méi shuō.,او حتی یک کلمه هم حرف نزد.,Extended emphatic negative use.
