word_id,chinese_word,pinyin,word_hsk_level,official_pos,sense_id,chinese_meaning,persian_meaning,collocations,example_chinese,example_pinyin,example_persian_translation,notes
1,啊,a,HSK 2,助、叹,1,用在句末，表示确认、同意或回应 (助),"در پایان جمله برای تأیید، موافقت یا پاسخ دادن می‌آید؛ مثل «آره/بله/درسته» (حرف نشانه)",是啊 (shì a) | 对啊 (duì a) | 好啊 (hǎo a) | 可以啊 (kěyǐ a),是啊，我也喜欢中文。,"Shì a, wǒ yě xǐhuan Zhōngwén.","آره، من هم زبان چینی را دوست دارم.",Sentence-final particle; usually neutral tone.
1,啊,a,HSK 2,助、叹,2,用在句末，表示感叹、赞叹或加强感情色彩 (助),"در پایان جمله برای بیان احساس، تعجب، تحسین یا تأکید عاطفی می‌آید؛ مثل «چه...!» یا «واقعاً...» (حرف نشانه)",真好啊 (zhēn hǎo a) | 太漂亮啊 (tài piàoliang a) | 好冷啊 (hǎo lěng a) | 真不容易啊 (zhēn bù róngyì a),今天真冷啊！,Jīntiān zhēn lěng a!,امروز واقعاً سرد است!,Sentence-final particle; adds emotional tone.
1,啊,a,HSK 2,助、叹,3,用在句末，表示提醒、催促、劝告或使语气更自然 (助),"در پایان جمله برای یادآوری، تشویق، اصرار، هشدار یا نرم‌تر و طبیعی‌تر کردن لحن می‌آید (حرف نشانه)",快走啊 (kuài zǒu a) | 你来啊 (nǐ lái a) | 别忘了啊 (bié wàng le a) | 小心啊 (xiǎoxīn a),别忘了带书啊。,Bié wàng le dài shū a.,یادت نرود کتابت را بیاوری ها.,Sentence-final particle; common in spoken reminders or urging.
1,啊,ā,HSK 2,助、叹,4,表示惊讶、赞叹、突然明白或呼唤 (叹),"آه؛ اِ؛ برای تعجب، تحسین، ناگهان فهمیدن یا صدا زدن (حرف ندا)","啊，你来了 (ā, nǐ lái le) | 啊，真好 (ā, zhēn hǎo) | 啊，我明白了 (ā, wǒ míngbai le) | 啊，原来如此 (ā, yuánlái rúcǐ)",啊，你已经来了！,"Ā, nǐ yǐjīng lái le!","آه، تو قبلاً آمده‌ای!",Interjection; tone varies with emotion.
1,啊,á/ǎ,HSK 2,助、叹,5,表示疑问、没听清、惊讶或不相信 (叹),"ها؟ چی؟ اِ؟ برای پرسش، درست نشنیدن، تعجب یا ناباوری نسبت به حرف طرف مقابل (حرف ندا)",啊？你说什么 (á? nǐ shuō shénme) | 啊？真的吗 (á? zhēn de ma) | 啊？还小呢 (á? hái xiǎo ne) | 啊？怎么会 (á? zěnme huì),A:你还小呢，B:啊？还小呢？,Á? Hái xiǎo ne?,A:تو هنوز کوچیکی. B:چی؟ من هنوز کوچیکم؟,"In surprised questioning, pinyin may be á or ǎ depending on tone description."
1,啊,à,HSK 2,助、叹,6,表示应答、明白、赞同或突然想起 (叹),"آهان؛ آره؛ فهمیدم؛ برای پاسخ دادن، فهمیدن، تأیید یا ناگهان یادآوردن چیزی (حرف ندا)","啊，我想起来了 (à, wǒ xiǎng qǐlai le) | 啊，对了 (à, duì le) | 啊，是这样 (à, shì zhèyàng) | 啊，好吧 (à, hǎo ba)",啊，我想起来了！,"À, wǒ xiǎng qǐlai le!","آهان، یادم آمد!",Interjection; often expresses realization or response.
2,爱好,àihào,HSK 2,名、动,1,对某种活动或事物有浓厚兴趣；喜欢长期做的事 (名),علاقه؛ سرگرمی؛ کاری یا چیزی که فرد به آن علاقه دارد و معمولاً دنبال می‌کند (اسم),个人爱好 (gèrén àihào) | 我的爱好 (wǒ de àihào) | 共同爱好 (gòngtóng àihào) | 兴趣爱好 (xìngqù àihào),我的爱好是看书。,Wǒ de àihào shì kàn shū.,علاقه/سرگرمی من کتاب خواندن است.,
2,爱好,àihào,HSK 2,名、动,2,喜欢并长期对某事物有兴趣 (动),"علاقه داشتن؛ به چیزی علاقه‌مند بودن، معمولاً با حس رسمی‌تر از 喜欢 (فعل)",爱好音乐 (àihào yīnyuè) | 爱好运动 (àihào yùndòng) | 爱好文学 (àihào wénxué) | 爱好书法 (àihào shūfǎ),他爱好中国音乐。,Tā àihào Zhōngguó yīnyuè.,او به موسیقی چینی علاقه دارد.,"As a verb, 爱好 is more formal than 喜欢."
3,白色,báisè,HSK 2,名、形,1,像雪或牛奶那样的颜色；颜色是白的 (名/形),رنگ سفید؛ سفید؛ به رنگ سفید (اسم/صفت),白色衣服 (báisè yīfu) | 白色的猫 (báisè de māo) | 白色杯子 (báisè bēizi) | 白色墙 (báisè qiáng),我喜欢白色的衣服。,Wǒ xǐhuan báisè de yīfu.,من لباس سفید را دوست دارم.,名词和形容词用法差别不大，可合并。
4,班,bān,HSK 2,名、量,1,学校、培训等按学习内容或人员组成的集体 (名),کلاس؛ گروه آموزشی؛ گروهی از دانش‌آموزان یا زبان‌آموزان در یک کلاس یا دوره (اسم),我们班 (wǒmen bān) | 汉语班 (Hànyǔ bān) | 培训班 (péixùn bān) | 一个班 (yí ge bān),我们班有二十个学生。,Wǒmen bān yǒu èrshí ge xuésheng.,کلاس ما بیست دانش‌آموز دارد.,
